欠压160V,欠压180V,欠压200V,正常220V,老化10Ω,老化50Ω,线圈卡涩,过压240V
0.04667 ,0.00333 ,-0.03333 ,-0.04333 ,-0.03000 ,0.00667 ,-0.00333 ,-0.04000 
0.18667 ,0.18667 ,-0.00667 ,3.86667 ,0.08333 ,-0.02000 ,-0.03333 ,0.17333 
0.40000 ,0.41000 ,0.37333 ,0.39000 ,0.35667 ,0.25000 ,0.37333 ,0.57000 
0.57667 ,0.65000 ,0.63000 ,0.67000 ,0.65667 ,0.56333 ,0.63667 ,0.85000 
0.75667 ,0.83000 ,0.86000 ,0.90667 ,0.88667 ,0.78333 ,0.90333 ,1.08000 
0.95333 ,0.98333 ,1.06667 ,1.11667 ,1.14667 ,0.95333 ,1.11000 ,1.27333 
1.06000 ,1.17000 ,1.24333 ,1.32333 ,1.31667 ,1.12333 ,1.32333 ,1.47000 
1.17000 ,1.32333 ,1.34667 ,1.47000 ,1.49333 ,1.33667 ,1.54667 ,1.64000 
1.27333 ,1.40333 ,1.46333 ,1.62333 ,1.59667 ,1.53667 ,1.68667 ,1.81667 
1.37000 ,1.51667 ,1.61333 ,1.81000 ,1.78667 ,1.67667 ,1.82667 ,1.98667 
1.49333 ,1.65000 ,1.76000 ,2.00000 ,1.96333 ,1.83000 ,2.00333 ,2.14333 
1.58333 ,1.76000 ,1.92333 ,2.19333 ,2.16333 ,1.95667 ,2.18667 ,2.35000 
1.70000 ,1.88333 ,2.05333 ,2.34000 ,2.28333 ,2.04667 ,2.37333 ,2.57000 
1.82667 ,2.01667 ,2.23333 ,2.47333 ,2.44333 ,2.15667 ,2.49000 ,2.72667 
1.95000 ,2.13667 ,2.36667 ,2.54667 ,2.54667 ,2.26000 ,2.61667 ,2.86000 
2.04667 ,2.27667 ,2.47000 ,2.66667 ,2.62000 ,2.37667 ,2.71333 ,2.96333 
2.05667 ,2.38000 ,2.57000 ,2.80000 ,2.74667 ,2.53333 ,2.86000 ,3.12333 
